Type of Incident,Year of Incident
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
MAN DEL CONT SUB PEN GRP 1 <1G,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
CRIMINAL TRESPASS WARNING,2022
THEFT BY DECEPTION (FRAUD) >OR EQUAL $750 <$2500,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ABANDONED PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
ABANDONED PROPERTY (NO OFFENSE),2023
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2022
OPEN BUILDING (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),2021
SEIZED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
LOST PROPERTY (NO OFFENSE),2023
FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
BMV,2023
POSS CONT SUB PEN GRP 1 <1G,2022
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSS OF DANGEROUS DRUG,2022
ASSAULT -BODILY INJURY ONLY,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSSESSION OF DRUG PARAPHERNALIA,2023
ABANDONED PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
DEADLY CONDUCT,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS WARNING,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2018
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
LOST PROPERTY (NO OFFENSE),2023
FOUND PROPERTY (NO OFFENSE),2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2023
LOST PROPERTY (NO OFFENSE),2023
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
MAN DEL CONT SUB PEN GRP 1 <1G,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ABANDONED PROPERTY (NO OFFENSE),2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2020
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2023
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT - PRELIMINARY INVESTIGATION,2022
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ,2022
CREDIT CARD OR DEBIT CARD ABUSE,2023
PUBLIC INTOXICATION,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
ABANDONED PROPERTY (NO OFFENSE),2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
MAN DEL CONT SUB PEN GRP 1 <1G,2022
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
CRIMINAL TRESPASS,2022
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2022
BMV,2023
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
KEEPING A GAMBLING PLACE,2022
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FOUND PROPERTY (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
LOST PROPERTY (NO OFFENSE),2023
POSS MARIJUANA <2OZ,2022
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNLAWFUL POSS FIREARM BY FELON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2023
ABANDONED PROPERTY (NO OFFENSE),2022
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BURGLARY OF BUILDING - FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
INTERFERE W/ CHILD CUSTODY,2023
FORGERY FINANCIAL INSTRUMENT,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
INTERFERE W/ CHILD CUSTODY,2023
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2022
OPEN BUILDING (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BURGLARY OF HABITATION - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
POSS CONT SUB PEN GRP 2 < 1G,2021
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
RECKLESS DAMAGE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
PUBLIC INTOXICATION,2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
BURGLARY OF BUILDING - FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
LOST PROPERTY (NO OFFENSE),2022
EVADING ARREST DETENTION W/VEH OR WATERCRAFT,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
THEFT BY DECEPTION (FRAUD) >OR EQUAL $100 <$750,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
PUBLIC INTOXICATION,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2022
BURGLARY OF HABITATION - FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
HOMICIDE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION",2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
LOST PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
THEFT BY DECEPTION (FRAUD) >OR EQUAL $750 <$2500,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
THEFT - PRELIMINARY INVESTIGATION,2023
ABANDONED PROPERTY (NO OFFENSE),2022
ASSAULT (AGG) -DEADLY WEAPON,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2021
ROBBERY OF INDIVIDUAL,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
SLEEPING IN A PUBLIC PLACE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
CRIMINAL TRESPASS WARNING,2023
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
PUBLIC INTOXICATION,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ROBBERY OF BUSINESS,2021
ABANDONED PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
BURGLARY OF BUILDING - FORCED ENTRY,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
ABANDONED PROPERTY (NO OFFENSE),2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
DWI,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNLAWFUL CARRYING WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
MAN DEL CONT SUB PEN GRP 1 <1G,2022
DWI W/OPEN CONTAINER,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 4G<400G,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FORGERY FINANCIAL INSTRUMENT,2021
POSS CONT SUB PEN GRP 1 <1G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF BUILDING - FORCED ENTRY,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
DEADLY CONDUCT,2023
DWI,2022
TRAFFIC VIOLATION - HAZARDOUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
OPEN BUILDING (NO OFFENSE),2022
TRAFFIC VIOLATION - NON HAZARDOUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
HARASSMENT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BURGLARY OF BUILDING - NO FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
PUBLIC INTOXICATION,2022
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
FOUND PROPERTY (NO OFFENSE),2023
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2019
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
